id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size
20241214145342,0.5,0.5,0,0,0,../datasets/covid,btree,461573,200000000,0,24,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214145759,0.5,0.5,0,0,0,../datasets/covid,btree,106791,200000000,0,24,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214145943,0.5,0.5,0,0,0,../datasets/covid,btree,0,200000000,0,24,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214150159,0.5,0.5,0,0,0,../datasets/covid,btree,0,0,0,24,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214150250,0.5,0.5,0,0,0,../datasets/covid,btree,0,200000000,0,24,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214150704,0.5,0.5,0,0,0,../datasets/covid,btree,0,200000000,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214150744,0.5,0.5,0,0,0,../datasets/covid,btree,0,200000000,0,0,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214150822,0.5,0.5,0,0,0,../datasets/covid,btree,0,0,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214151226,0.5,0.5,0,0,0,../datasets/covid,btree,0,100000000,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214153753,0.5,0.5,0,0,0,../datasets/covid,btree,0,200000000,0,24,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214153826,0.5,0.5,0,0,0,../datasets/planet,btree,0,0,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214174634,0,1,0,0,0,../datasets/planet,btree,0,250,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,250
20241214174710,0,1,0,0,0,../datasets/planet,btree,92867,249,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,250
20241214174718,0,1,0,0,0,../datasets/planet,btree,5393613,25,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,250
20241214175900,0.5,0.5,0,0,0,../datasets/planet,btree,0,0,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20241214180311,0,1,0,0,0,../datasets/covid,btree,1236068,0,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20250122145122,0,1,0,0,0,../datasets/covid,btree,1284988,0,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20250122152352,0,1,0,0,0,../datasets/covid,btree,1264646,0,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
20250122153012,0,1,0,0,0,../datasets/covid,btree,1116425,100000000,0,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000
